"Tabell 4A: Döda juli-december 2020 efter underliggande dödsorsak enligt ICD:s detaljlista, kön och ålder. Antal",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ålder,,,,,,,,,,,,,,,,,,,,
A04.5,"Enterit orsakad av Campylobacter",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
A04.7,"Enterokolit orsakad av Clostridium difficile",Kv,19,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,5,4,6,1
,,M,17,-,-,-,-,-,-,-,-,1,-,-,-,-,1,2,3,2,2,1,4,1
A04.8,"Andra specificerade bakteriella tarminfektioner",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
A04.9,"Bakteriell tarminfektion, ospecificerad",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
A08.1,"Akut gastroenteropati orsakad av norovirus",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
A08.4,"Enterit orsakad av ospecificerat virus",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
A09.0,"Annan och ospecificerad gastroenterit och kolit av infektiös orsak",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2,-
,,M,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,1,1
A09.9,"Gastroenterit och kolit av ospecificerad orsak",Kv,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,2,4,9,4
,,M,15,-,-,-,-,-,-,-,-,-,1,-,-,1,1,1,2,3,2,1,2,1
A15-A19,Tuberkulos,Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
A16.2,"Lungtuberkulos, utan uppgift om bakteriologisk eller histologisk verifikation",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
A16.9,"Tuberkulos i ospecificerat andningsorgan utan uppgift om bakteriologisk eller histologisk verifikation",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
A19.2,"Ospecificerad akut miliartuberkulos",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
A20-A28,"Vissa djurburna bakteriesjukdomar",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
A28.0,Pasteurellos,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
A30-A49,"Andra bakteriesjukdomar",Kv,230,-,-,-,-,-,-,-,-,-,-,2,1,2,4,6,15,20,40,63,52,25
,,M,254,2,1,-,-,-,-,-,-,-,-,1,-,2,3,10,23,38,60,51,44,19
A31.0,"Mykobakteriell lungaffektion",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
A31.9,"Mykobakteriell infektion, ospecificerad",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-
A32.1,"Meningit och meningoencefalit orsakad av Listeria",M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
A32.9,"Listerios, ospecificerad",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
A39.2,"Akut meningokockemi",M,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A40.0,"Sepsis orsakad av streptokocker grupp A",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
A40.1,"Sepsis orsakad av streptokocker grupp B",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
,,M,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A40.3,"Sepsis orsakad av Streptococcus pneumoniae",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
A40.8,"Annan specificerad streptokocksepsis",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-
A40.9,"Streptokocksepsis, ospecificerad",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-
A41.0,"Sepsis orsakad av Staphylococcus aureus",Kv,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,3,-,3,5,-
,,M,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,1,-,5,2
A41.1,"Sepsis orsakad av annan specificerad stafylokock",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
A41.2,"Sepsis orsakad av ospecificerad stafylokock",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-
,,M,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,2,-
A41.4,"Sepsis orsakad av anaeroba bakterier",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
A41.5,"Sepsis orsakad av andra gramnegativa organismer",Kv,11,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,1,3,2,2,1
,,M,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,4,2,3,1
A41.8,"Andra specificerade former av sepsis",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
A41.9,"Sepsis, ospecificerad",Kv,126,-,-,-,-,-,-,-,-,-,-,1,1,1,2,3,11,6,24,34,31,12
,,M,168,-,-,-,-,-,-,-,-,-,-,-,-,1,3,4,17,29,39,35,27,13
A43.9,"Nokardios, ospecificerad",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
A46,Rosfeber,Kv,26,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,4,5,6,4,4
,,M,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,5,2,1,1
A48.0,Gasgangrän,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
A48.1,Legionärsjuka,Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-
A49.0,"Stafylokockinfektion, ospecificerad lokalisation",Kv,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,3,-
,,M,4,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,2,-
A49.1,"Streptokock- och enterokockinfektion, ospecificerad lokalisation",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-
A49.8,"Infektion med andra bakterier, ospecificerad lokalisation",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-
A49.9,"Bakterieinfektion, ospecificerad",Kv,26,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,3,6,7,2,5
,,M,23,-,1,-,-,-,-,-,-,-,-,-,-,1,-,2,1,2,4,9,2,1
A70-A74,"Andra sjukdomar orsakade av klamydia",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
A70,"Infektion orsakad av Chlamydia psittaci (papegojsjuka)",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
A80-A89,"Virussjukdomar i centrala nervsystemet",Kv,8,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,1,2,-,1,-,-
,,M,15,-,-,-,-,-,-,-,-,-,-,-,1,1,-,4,3,2,3,1,-,-
A81.0,"Creutzfeldt-Jakobs sjukdom",Kv,5,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,2,-,1,-,-
,,M,7,-,-,-,-,-,-,-,-,-,-,-,1,-,-,3,2,1,-,-,-,-
A81.2,"Progressiv multifokal leukoencefalopati",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
A84.9,"Virusencefalit överförd av fästingar, ospecificerad",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-
,,M,6,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,1,2,-,-,-
A86,"Icke specificerad virusencefalit",M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-
B00-B09,"Virussjukdomar med hudutslag och slemhinneutslag",Kv,10,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,2,5
,,M,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,2,-,1,-
B00.4,"Encefalit orsakad av herpes simplex-virus (G05.1)",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,1
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
B00.9,"Herpes simplex-infektion, ospecificerad",M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-
B02.0,"Bältros med encefalit (G05.1)",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
B02.9,"Bältros utan komplikation",Kv,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,4
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
B15-B19,Virushepatit,Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-,-
,,M,8,-,-,-,-,-,-,-,-,-,-,-,1,1,-,2,2,2,-,-,-,-
B18.1,"Kronisk (virus)hepatit B utan hepatit D",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
B18.2,"Kronisk (virus)hepatit C",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-
,,M,8,-,-,-,-,-,-,-,-,-,-,-,1,1,-,2,2,2,-,-,-,-
B20-B24,"Sjukdom orsakad av humant immunbristvirus [HIV]",M,4,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,1,-,-,-,-,-
B20.6,"HIV-infektion med Pneumocystis jirovecii (carinii)-pneumoni",M,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
B21.3,"HIV-infektion med andra maligna tumörer i lymfoid, blodbildande och besläktad vävnad",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
B22.7,"HIV-infektion med multipla sjukdomar som klassificeras på annan plats",M,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
B24,"Icke specificerad sjukdom orsakad av humant immunbristvirus [HIV]",M,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
B25-B34,"Andra virussjukdomar",Kv,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,1,2,1
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-
B25.0,"Cytomegalviruspneumonit (J17.1)",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
B34.9,"Virusinfektion, ospecificerad",Kv,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,1,2,1
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-
B35-B49,Svampsjukdomar,Kv,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,4,-,1,-
,,M,12,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,2,2,2,2,2,-
B37.0,"Candidainfektion i munnen",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
B37.7,Candidasepsis,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
B37.8,"Candidainfektion med andra lokalisationer",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
B44.1,"Annan lungaspergillos",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
B44.9,"Aspergillos, ospecificerad",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-
B48.5,"Pneumocystos (J17.2)",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-
,,M,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,2,-,-,-
B49,"Icke specificerad mykos",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
,,M,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,1,1,-
B90-B94,"Sena effekter av infektionssjukdomar och parasitsjukdomar",Kv,7,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,1,1,-,1,1,-
,,M,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,2,-
B91,"Sena effekter av polio",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
B94.1,"Sena effekter av virusencefalit",Kv,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
B94.2,"Sena effekter av virushepatit",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
B94.8,"Sena effekter av andra specificerade infektionssjukdomar och parasitsjukdomar",Kv,4,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,-,1,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-
B94.9,"Sena effekter av ospecificerad infektionssjukdom eller parasitsjukdom",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
B99-B99,"Andra infektionssjukdomar",Kv,175,-,-,-,-,-,-,-,-,-,-,-,1,1,-,2,6,11,35,46,39,34
,,M,179,-,-,-,-,-,-,-,-,-,-,1,1,-,2,7,14,26,39,31,36,22
B99,"Andra och icke specificerade infektionssjukdomar",Kv,175,-,-,-,-,-,-,-,-,-,-,-,1,1,-,2,6,11,35,46,39,34
,,M,179,-,-,-,-,-,-,-,-,-,-,1,1,-,2,7,14,26,39,31,36,22
"C00-D48","KAP II. TUMÖRER",Kv,5411,-,2,1,5,2,2,2,17,24,42,72,136,191,324,490,861,1029,855,766,446,144
,,M,6070,1,-,3,2,5,5,12,7,12,38,52,118,222,377,618,950,1191,1075,864,414,104
C00-C14,"Maligna tumörer i läpp, munhåla och svalg",Kv,50,-,-,-,-,-,-,-,-,-,-,1,2,1,4,5,12,9,5,5,5,1
,,M,104,-,-,-,-,-,-,-,-,-,-,3,4,5,14,10,19,22,13,7,4,3
C00.9,"Malign tumör i läpp, ospecificerad",M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
C01,"Malign tumör i tungbasen",Kv,10,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,4,1,1,2,-
,,M,10,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1,1,-,2,2,-,-
C02.1,"Malign tumör på tungranden",Kv,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,-,-,-,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,1
C02.8,"Malign tumör i tungan med övergripande växt",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
C02.9,"Ospecificerad lokalisation av malign tumör i tungan",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-
,,M,5,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,2,-,-,1
C03.0,"Malign tumör i överkäkstandköttet",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
C03.1,"Malign tumör i underkäkstandköttet",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
,,M,4,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,1,-,-,-,-
C03.9,"Ospecificerad lokalisation av malign tumör i tandköttet",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,1
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
C04.1,"Malign tumör i laterala delen av munbotten",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
C04.9,"Ospecificerad lokalisation av malign tumör i munbotten",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-
,,M,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,4,-,-,-
C05.0,"Malign tumör i hårda gommen",M,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
C05.9,"Ospecificerad lokalisation av malign tumör i gommen",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
C06.0,"Malign tumör i kindslemhinnan",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-
C06.9,"Ospecificerad lokalisation av malign tumör i munhålan",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
,,M,5,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,1,-,2,-
C07,"Malign tumör i parotiskörtel",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-
,,M,5,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,2,-,-,-,-,-
C08.0,"Malign tumör i submandibulariskörtel",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
C08.9,"Malign tumör i stor spottkörtel, ospecificerad",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-
,,M,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,-,1,-,-
C09.9,"Malign tumör i tonsill, ospecificerad",Kv,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,-,1,-,-
,,M,23,-,-,-,-,-,-,-,-,-,-,-,1,1,2,4,6,5,-,2,1,1
C10.9,"Ospecificerad lokalisation av malign tumör i orofarynx",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
,,M,4,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,1,-,-
C11.9,"Ospecificerad lokalisation av malign tumör i rinofarynx",Kv,3,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,1,-,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
C13.9,"Ospecificerad lokalisation av malign tumör i hypofarynx",Kv,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,1,-,-,-
,,M,19,-,-,-,-,-,-,-,-,-,-,-,1,1,2,1,4,8,-,1,1,-
C14.0,"Ospecificerad lokalisation av malign tumör i farynx",Kv,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-
,,M,5,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,1,-,-,-,-
C14.8,"Malign tumör i läpp, munhåla och farynx med övergripande växt",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
C15-C26,"Maligna tumörer i matsmältningsorganen",Kv,1670,-,-,-,-,-,-,-,4,5,8,17,43,59,84,151,277,295,281,252,143,51
,,M,1959,-,-,-,-,-,1,4,2,4,19,25,49,94,148,264,341,377,310,214,90,17
C15.3,"Malign tumör i övre tredjedelen av esofagus",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
C15.4,"Malign tumör i mellersta tredjedelen av esofagus",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
C15.5,"Malign tumör i nedre tredjedelen av esofagus",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-
C15.8,"Malign tumör i esofagus med övergripande växt",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-
C15.9,"Ospecificerad lokalisation av malign tumör i esofagus",Kv,69,-,-,-,-,-,-,-,-,-,1,-,1,4,9,5,20,10,8,4,6,1
,,M,152,-,-,-,-,-,-,-,-,-,-,2,3,7,17,22,32,34,17,13,4,1
C16.0,"Malign tumör i kardia",Kv,15,-,-,-,-,-,-,-,-,-,-,1,-,2,1,3,2,2,1,1,1,1
,,M,41,-,-,-,-,-,-,1,-,-,-,-,3,2,3,8,2,11,4,4,3,-
C16.1,"Malign tumör i fundus ventriculi",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
C16.2,"Malign tumör i corpus ventriculi",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
C16.3,"Malign tumör i antrum ventriculi",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
C16.8,"Malign tumör i magsäcken med övergripande växt",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
C16.9,"Ospecificerad lokalisation av malign tumör i magsäcken",Kv,70,-,-,-,-,-,-,-,-,-,-,-,3,1,7,8,11,9,11,11,5,4
,,M,136,-,-,-,-,-,-,-,1,1,3,2,6,9,10,12,14,26,24,19,8,1
C17.0,"Malign tumör i duodenum",Kv,10,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,3,1,1,1,-,1
,,M,9,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,1,3,1,1,1,-
C17.1,"Malign tumör i jejunum",M,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,-,-,-,-,-
C17.2,"Malign tumör i ileum",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-
,,M,5,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,-,1,1,-,-
C17.9,"Ospecificerad lokalisation av malign tumör i tunntarmen",Kv,18,-,-,-,-,-,-,-,-,1,-,-,-,-,2,3,2,4,1,3,2,-
,,M,15,-,-,-,-,-,-,-,-,-,-,-,-,2,2,4,1,4,1,1,-,-
C18.0,"Malign tumör i caecum",Kv,47,-,-,-,-,-,-,-,-,-,-,-,2,-,2,2,9,7,9,7,5,4
,,M,37,-,-,-,-,-,-,-,-,-,1,2,1,3,-,4,7,4,7,5,2,1
C18.1,"Malign tumör i appendix",Kv,7,-,-,-,-,-,-,-,-,-,-,1,-,-,-,3,2,-,1,-,-,-
,,M,6,-,-,-,-,-,-,1,-,-,2,-,-,-,-,1,1,1,-,-,-,-
