"Tabell4A:Dödajanuari-juni2021efterunderliggandedödsorsakenligtICD:sdetaljlista,könochålder.Antal",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ålder,,,,,,,,,,,,,,,,,,,,
A39.0,Meningokockmeningit (G01),M,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
A39.1,Waterhouse-Friderichsens syndrom (E35.1),M,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
A40.0,Sepsis orsakad av streptokocker grupp A,M,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
A40.2,Sepsis orsakad av streptokocker grupp D och enterokocker,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
A40.3,Sepsis orsakad av Streptococcus pneumoniae,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-
A40.8,Annan specificerad streptokocksepsis,Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
A40.9,"Streptokocksepsis, ospecificerad",M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-
A41.0,Sepsis orsakad av Staphylococcus aureus,Kv,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,3,5,1
,,M,20,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,4,4,7,2,1
A41.1,Sepsis orsakad av annan specificerad stafylokock,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
A41.2,Sepsis orsakad av ospecificerad stafylokock,Kv,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,3,1,-
,,M,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,3,-,-
A41.5,Sepsis orsakad av andra gramnegativa organismer,Kv,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,1,1,1,2,-
,,M,5,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,1,1,-,-
A41.9,"Sepsis, ospecificerad",Kv,156,-,-,-,-,1,-,-,-,-,-,-,3,4,1,2,11,15,35,33,38,13
,,M,183,-,-,-,-,-,-,-,-,-,-,1,2,-,6,5,18,25,40,39,36,11
A46,Rosfeber,Kv,20,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,4,5,6,2
,,M,23,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,2,5,9,3,1
A48.1,Legionärsjuka,Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,-
A49.0,"Stafylokockinfektion, ospecificerad lokalisation",Kv,4,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,1,-,1,-,-
,,M,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,2,-,-,-
A49.1,"Streptokock- och enterokockinfektion, ospecificerad lokalisation",M,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,1,-
A49.8,"Infektion med andra bakterier, ospecificerad lokalisation",Kv,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,2,1,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-
A49.9,"Bakterieinfektion, ospecificerad",Kv,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,7,9,8,2
,,M,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,4,8,4,12,3
A80-A89,Virussjukdomar i centrala nervsystemet,Kv,9,-,-,-,-,-,-,-,-,-,1,-,-,-,3,1,1,1,2,-,-,-
,,M,5,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,1,-
A81.0,Creutzfeldt-Jakobs sjukdom,Kv,6,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,-,2,-,-,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-
A81.2,Progressiv multifokal leukoencefalopati,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
A81.9,"Atypisk virusinfektion i centrala nervsystemet, ospecificerad",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
A84.9,"Virusencefalit överförd av fästingar, ospecificerad",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
A85.0,Enteroviral encefalit (G05.1),Kv,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
A86,Icke specificerad virusencefalit,M,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B00-B09,Virussjukdomar med hudutslag och slemhinneutslag,Kv,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,3,2,3,3
,,M,3,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,1,-,-,-,-
B00.4,Encefalit orsakad av herpes simplex-virus (G05.1),M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-
B00.9,"Herpes simplex-infektion, ospecificerad",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
,,M,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
B01.1,Vattkoppsencefalit (G05.1),Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
B02.0,Bältros med encefalit (G05.1),Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1
B02.3,Bältros med ögonkomplikationer,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
B02.8,Bältros med andra specificerade komplikationer,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
B02.9,Bältros utan komplikation,Kv,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,2,2
B15-B19,Virushepatit,Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-
,,M,9,-,-,-,-,-,-,-,-,-,-,1,-,2,1,2,1,1,1,-,-,-
B18.1,Kronisk (virus)hepatit B utan hepatit D,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
B18.2,Kronisk (virus)hepatit C,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
,,M,8,-,-,-,-,-,-,-,-,-,-,1,-,2,1,2,1,1,-,-,-,-
B20-B24,Sjukdom orsakad av humant immunbristvirus [HIV],Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-
B20.3,HIV-infektion med andra virusinfektioner,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
B20.7,HIV-infektion med multipla infektioner,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
B22.7,HIV-infektion med multipla sjukdomar som klassificeras på annan plats,M,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
B25-B34,Andra virussjukdomar,Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-
B34.2,"Coronavirusinfektion, ospecificerad lokalisation",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
B34.9,"Virusinfektion, ospecificerad",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-
B35-B49,Svampsjukdomar,Kv,11,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,3,1,2,2
,,M,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,1,-,1,-
B37.0,Candidainfektion i munnen,Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1
B37.8,Candidainfektion med andra lokalisationer,Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1
B37.9,"Candidainfektion, ospecificerad",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
B44.1,Annan lungaspergillos,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
B48.5,Pneumocystos (J17.2),Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,-,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-
B49,Icke specificerad mykos,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-
B50-B64,Protozosjukdomar,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
B58.2,Meningoencefalit vid toxoplasmos (G05.2),Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
B90-B94,Sena effekter av infektionssjukdomar och parasitsjukdomar,Kv,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,2,1
,,M,8,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,1,-,2,3,-
B90.9,Sena effekter av tuberkulos i andningsorganen och ospecificerad tuberkulos,Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
B91,Sena effekter av polio,Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,1
,,M,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,2,-
B94.2,Sena effekter av virushepatit,M,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
B94.8,Sena effekter av andra specificerade infektionssjukdomar och parasitsjukdomar,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
B99-B99,Andra infektionssjukdomar,Kv,202,-,-,-,-,-,-,-,-,-,-,-,-,-,3,5,10,20,32,57,50,25
,,M,205,-,-,-,-,-,-,-,-,-,-,-,1,1,1,9,14,21,46,52,47,13
B99,Andra och icke specificerade infektionssjukdomar,Kv,202,-,-,-,-,-,-,-,-,-,-,-,-,-,3,5,10,20,32,57,50,25
,,M,205,-,-,-,-,-,-,-,-,-,-,-,1,1,1,9,14,21,46,52,47,13
C00-D48,KAP II. TUMÖRER,Kv,5472,-,1,4,3,3,10,8,11,26,42,75,154,198,327,529,830,1011,856,758,469,157
,,M,5752,-,2,4,1,6,6,9,7,13,33,63,114,190,354,556,932,1141,983,839,398,101
C00-C14,"Maligna tumörer i läpp, munhåla och svalg",Kv,56,-,-,-,-,-,-,-,-,-,-,-,1,4,9,5,7,8,10,4,7,1
,,M,95,-,-,-,-,-,-,-,1,-,1,1,3,5,13,20,19,17,9,5,-,1
C01,Malign tumör i tungbasen,Kv,10,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,2,1,2,-,1,-
,,M,16,-,-,-,-,-,-,-,1,-,-,1,-,1,1,3,2,4,2,1,-,-
C02.1,Malign tumör på tungranden,Kv,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,3,-,1,-
,,M,5,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,2,-,-,-
C02.8,Malign tumör i tungan med övergripande växt,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
C02.9,Ospecificerad lokalisation av malign tumör i tungan,Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,2,-
,,M,6,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,1,1,-,1
C03.1,Malign tumör i underkäkstandköttet,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-
C03.9,Ospecificerad lokalisation av malign tumör i tandköttet,Kv,6,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,1,1,1,-
,,M,6,-,-,-,-,-,-,-,-,-,1,-,-,-,-,3,-,-,1,1,-,-
C04.9,Ospecificerad lokalisation av malign tumör i munbotten,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
,,M,6,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,1,1,-,-,-
C05.0,Malign tumör i hårda gommen,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
C05.9,Ospecificerad lokalisation av malign tumör i gommen,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
C06.9,Ospecificerad lokalisation av malign tumör i munhålan,Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,-,1,-,-
,,M,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,3,-,-,-,-
C07,Malign tumör i parotiskörtel,Kv,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,1,-,1,1
,,M,8,-,-,-,-,-,-,-,-,-,-,-,-,1,-,3,2,2,-,-,-,-
C08.0,Malign tumör i submandibulariskörtel,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
C08.9,"Malign tumör i stor spottkörtel, ospecificerad",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-
C09.0,Malign tumör i fossa tonsillaris,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-
C09.9,"Malign tumör i tonsill, ospecificerad",Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,-,-,-,-,-,-
,,M,18,-,-,-,-,-,-,-,-,-,-,-,1,2,3,1,5,3,1,2,-,-
C10.9,Ospecificerad lokalisation av malign tumör i orofarynx,Kv,5,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,2,-,-,-,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-
C11.1,Malign tumör i bakre väggen av rinofarynx,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
C11.9,Ospecificerad lokalisation av malign tumör i rinofarynx,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
C12,Malign tumör i fossa piriformis,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
C13.9,Ospecificerad lokalisation av malign tumör i hypofarynx,Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,-,-,1,-
,,M,10,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,4,2,-,-,-,-
C14.0,Ospecificerad lokalisation av malign tumör i farynx,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-
C15-C26,Maligna tumörer i matsmältningsorganen,Kv,1712,-,-,-,-,-,1,-,2,5,8,25,39,54,95,159,268,326,281,253,150,46
,,M,1930,-,-,-,-,-,1,2,2,3,15,26,48,90,167,225,325,399,304,219,82,22
C15.4,Malign tumör i mellersta tredjedelen av esofagus,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
C15.5,Malign tumör i nedre tredjedelen av esofagus,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
C15.9,Ospecificerad lokalisation av malign tumör i esofagus,Kv,58,-,-,-,-,-,-,-,-,-,-,-,2,-,3,9,5,17,9,9,3,1
,,M,183,-,-,-,-,-,-,-,-,-,-,-,3,10,13,23,45,36,31,13,7,2
C16.0,Malign tumör i kardia,Kv,18,-,-,-,-,-,-,-,-,-,-,-,-,1,1,3,2,5,3,1,2,-
,,M,41,-,-,-,-,-,-,-,-,-,-,2,1,4,2,4,6,9,7,3,3,-
C16.2,Malign tumör i corpus ventriculi,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
C16.3,Malign tumör i antrum ventriculi,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
C16.4,Malign tumör i pylorus,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
C16.8,Malign tumör i magsäcken med övergripande växt,M,2,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-
C16.9,Ospecificerad lokalisation av malign tumör i magsäcken,Kv,99,-,-,-,-,-,-,-,-,1,4,4,6,2,5,11,13,24,13,11,4,1
,,M,107,-,-,-,-,-,-,-,1,-,2,2,1,3,10,7,15,22,21,18,5,-
C17.0,Malign tumör i duodenum,Kv,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,3,5,2,-,-
,,M,13,-,-,-,-,-,-,-,-,-,-,1,-,1,2,2,1,2,2,1,-,1
C17.1,Malign tumör i jejunum,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
C17.2,Malign tumör i ileum,Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
C17.9,Ospecificerad lokalisation av malign tumör i tunntarmen,Kv,25,-,-,-,-,-,-,-,-,-,-,-,-,1,1,3,3,5,4,6,2,-
,,M,21,-,-,-,-,-,-,1,-,-,1,-,-,1,2,2,2,6,3,3,-,-
C18.0,Malign tumör i caecum,Kv,54,-,-,-,-,-,-,-,-,-,-,-,1,3,2,4,6,10,11,12,4,1
,,M,33,-,-,-,-,-,-,-,-,-,-,-,-,1,5,4,3,7,3,6,2,2
C18.1,Malign tumör i appendix,Kv,10,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,2,2,2,-,1,-
,,M,8,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,-,1,1,1,1,-
C18.2,Malign tumör i colon ascendens,Kv,9,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,2,1,3
,,M,8,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,2,-,2,2,-,-
C18.3,Malign tumör i flexura hepatica,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
C18.4,Malign tumör i colon transversum,Kv,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,5,2,1,-
,,M,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,1,-
C18.5,Malign tumör i flexura lienalis,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
C18.6,Malign tumör i colon descendens,Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-
C18.7,Malign tumör i sigmoideum,Kv,60,-,-,-,-,-,-,-,-,1,-,1,2,-,3,6,13,6,10,10,8,-
,,M,84,-,-,-,-,-,-,1,-,-,1,2,3,2,9,11,14,13,17,8,2,1
C18.8,Malign tumör i kolon med övergripande växt,Kv,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
C18.9,Ospecificerad lokalisation av malign tumör i kolon,Kv,350,-,-,-,-,-,-,-,2,1,-,6,8,11,20,26,48,61,54,51,50,12
,,M,280,-,-,-,-,-,-,-,-,1,1,6,11,5,17,26,49,50,41,45,20,8
C19,Malign tumör i rektosigmoidala gränszonen,Kv,19,-,-,-,-,-,-,-,-,1,-,-,-,2,1,1,3,3,4,1,1,2
,,M,21,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,2,10,2,1,2,-
C20,Malign tumör i ändtarmen,Kv,156,-,-,-,-,-,-,-,-,-,1,4,5,9,4,11,21,31,19,24,18,9
,,M,224,-,-,-,-,-,-,-,-,-,1,2,5,14,26,19,33,42,40,26,12,4
