"Tabell 4A: Döda januari-juni 2020 efter underliggande dödsorsak enligt ICD:s detaljlista, kön och ålder. Antal",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ålder,,,,,,,,,,,,,,,,,,,,
"A00 - B99","KAP I. VISSA INFEKTIONS- OCH PARASITSJUKDOMAR",Kv,599,-,-,-,-,-,-,-,-,-,1,-,-,8,13,14,38,58,102,157,138,70
,,M,565,1,1,-,-,2,-,-,1,-,2,4,4,5,14,26,57,85,102,130,96,35
A00-A09,"Infektionssjukdomar utgående från mag-tarmkanalen",Kv,85,-,-,-,-,-,-,-,-,-,-,-,-,2,1,2,6,9,7,30,20,8
,,M,55,-,1,-,-,-,-,-,-,-,-,-,1,-,2,1,5,9,5,17,12,2
A02.1,Salmonellasepsis,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
A04.7,"Enterokolit orsakad av Clostridium difficile",Kv,15,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,1,5,4,2
,,M,13,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,2,3,5,1,-
A08.1,"Akut gastroenteropati orsakad av norovirus",Kv,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,6,3,-
,,M,10,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,5,2,-
A08.4,"Enterit orsakad av ospecificerat virus",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
A09.0,"Annan och ospecificerad gastroenterit och kolit av infektiös orsak",Kv,6,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,2,1,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,-
A09.9,"Gastroenterit och kolit av ospecificerad orsak",Kv,48,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,4,6,1,17,12,5
,,M,28,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,3,4,2,5,9,2
A15-A19,Tuberkulos,Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-
,,M,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,1,1,-
A16.2,"Lungtuberkulos, utan uppgift om bakteriologisk eller histologisk verifikation",M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-
A16.9,"Tuberkulos i ospecificerat andningsorgan utan uppgift om bakteriologisk eller histologisk verifikation",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-
A17.0,"Tuberkulös meningit (G01)",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
A30-A49,"Andra bakteriesjukdomar",Kv,257,-,-,-,-,-,-,-,-,-,-,-,-,2,4,9,15,22,55,60,64,26
,,M,252,-,-,-,-,1,-,-,1,-,-,-,2,1,4,17,20,40,52,52,47,15
A31.0,"Mykobakteriell lungaffektion",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
A31.9,"Mykobakteriell infektion, ospecificerad",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
A32.1,"Meningit och meningoencefalit orsakad av Listeria",M,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-
A32.7,"Sepsis orsakad av Listeria",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
A40.0,"Sepsis orsakad av streptokocker grupp A",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-
,,M,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A40.1,"Sepsis orsakad av streptokocker grupp B",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
A40.3,"Sepsis orsakad av Streptococcus pneumoniae",M,3,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,1,-,-
A40.8,"Annan specificerad streptokocksepsis",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
A40.9,"Streptokocksepsis, ospecificerad",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,1
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
A41.0,"Sepsis orsakad av Staphylococcus aureus",Kv,20,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,3,5,5,4
,,M,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,2,-,5,1
A41.1,"Sepsis orsakad av annan specificerad stafylokock",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
A41.2,"Sepsis orsakad av ospecificerad stafylokock",Kv,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,2,1
,,M,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,2,1,-,-
A41.3,"Sepsis orsakad av Haemophilus influenzae",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
A41.4,"Sepsis orsakad av anaeroba bakterier",Kv,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,2,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-
A41.5,"Sepsis orsakad av andra gramnegativa organismer",Kv,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,4,2
,,M,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,2,1,2,1,-
A41.9,"Sepsis, ospecificerad",Kv,150,-,-,-,-,-,-,-,-,-,-,-,-,-,3,6,8,15,28,41,37,12
,,M,161,-,-,-,-,-,-,-,-,-,-,-,1,1,3,9,10,27,34,39,25,12
A43.9,"Nokardios, ospecificerad",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
A46,Rosfeber,Kv,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,10,7,6,1
,,M,18,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,2,1,2,4,5,1
A48.1,Legionärsjuka,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
,,M,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,-,1,-
A49.0,"Stafylokockinfektion, ospecificerad lokalisation",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
,,M,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-
A49.1,"Streptokock- och enterokockinfektion, ospecificerad lokalisation",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
A49.2,"Haemophilus influenzae-infektion, ospecificerad lokalisation",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
A49.8,"Infektion med andra bakterier, ospecificerad lokalisation",Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,1,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
A49.9,"Bakterieinfektion, ospecificerad",Kv,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,6,4,3,5
,,M,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,3,4,3,6,1
A65-A69,"Andra spiroketsjukdomar",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
A69.2,"Infektion orsakad av Borrelia burgdorferi",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
A80-A89,"Virussjukdomar i centrala nervsystemet",Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,2,-,-,-
,,M,8,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,2,1,2,-,-,-
A81.0,"Creutzfeldt-Jakobs sjukdom",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
A81.2,"Progressiv multifokal leukoencefalopati",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
A81.8,"Andra atypiska virusinfektioner i centrala nervsystemet",M,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
A84.9,"Virusencefalit överförd av fästingar, ospecificerad",M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-
A86,"Icke specificerad virusencefalit",M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-
B00-B09,"Virussjukdomar med hudutslag och slemhinneutslag",Kv,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,2,-,1,2
,,M,6,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,2,1,-,-
B00.4,"Encefalit orsakad av herpes simplex-virus (G05.1)",Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,1,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
B00.9,"Herpes simplex-infektion, ospecificerad",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
B01.1,"Vattkoppsencefalit (G05.1)",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
,,M,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B02.3,"Bältros med ögonkomplikationer",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
B02.9,"Bältros utan komplikation",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-
B15-B19,Virushepatit,Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-
,,M,15,-,-,-,-,-,-,-,-,-,1,2,-,2,2,2,2,3,-,1,-,-
B16.9,"Akut hepatit B utan hepatit D och utan leverkoma",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
B18.1,"Kronisk (virus)hepatit B utan hepatit D",M,4,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,1,-,1,-,-
B18.2,"Kronisk (virus)hepatit C",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-
,,M,10,-,-,-,-,-,-,-,-,-,-,2,-,2,2,1,1,2,-,-,-,-
B20-B24,"Sjukdom orsakad av humant immunbristvirus [HIV]",M,5,-,-,-,-,-,-,-,-,-,-,1,1,1,1,-,-,1,-,-,-,-
B20.1,"HIV-infektion med andra bakterieinfektioner",M,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
B21.0,"HIV-infektion med Kaposis sarkom",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
B23.2,"HIV-infektion med hematologiska och immunologiska avvikelser som ej klassificeras på annan plats",M,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
B23.8,"HIV-infektion med andra specificerade sjukdomstillstånd",M,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
B24,"Icke specificerad sjukdom orsakad av humant immunbristvirus [HIV]",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
B25-B34,"Andra virussjukdomar",Kv,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,3,2,3
,,M,11,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2,2,3,1,1,1
B27.0,"Mononukleos orsakad av Epstein-Barr-virus",M,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B34.8,"Infektion med andra virus, ospecificerad lokalisation",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
B34.9,"Virusinfektion, ospecificerad",Kv,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,3,2,3
,,M,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,3,1,1,1
B35-B49,Svampsjukdomar,Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,1,-
,,M,6,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,1,1,1,-
B37.0,"Candidainfektion i munnen",M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
B37.1,"Candidainfektion i lunga",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
B37.8,"Candidainfektion med andra lokalisationer",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
B44.1,"Annan lungaspergillos",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
B46.5,"Mucormykos, ospecificerad",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
B48.5,"Pneumocystos (J17.2)",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
B49,"Icke specificerad mykos",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
B90-B94,"Sena effekter av infektionssjukdomar och parasitsjukdomar",Kv,5,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,-,-,-,2
,,M,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,1,1
B90.9,"Sena effekter av tuberkulos i andningsorganen och ospecificerad tuberkulos",M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
B91,"Sena effekter av polio",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
B94.1,"Sena effekter av virusencefalit",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
B94.8,"Sena effekter av andra specificerade infektionssjukdomar och parasitsjukdomar",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
B94.9,"Sena effekter av ospecificerad infektionssjukdom eller parasitsjukdom",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
B99-B99,"Andra infektionssjukdomar",Kv,219,-,-,-,-,-,-,-,-,-,1,-,-,3,4,2,15,18,35,62,50,29
,,M,197,-,-,-,-,-,-,-,-,-,1,-,-,-,2,4,24,26,36,55,33,16
B99,"Andra och icke specificerade infektionssjukdomar",Kv,219,-,-,-,-,-,-,-,-,-,1,-,-,3,4,2,15,18,35,62,50,29
,,M,197,-,-,-,-,-,-,-,-,-,1,-,-,-,2,4,24,26,36,55,33,16
"C00 - D48","KAP II. TUMÖRER",Kv,5552,-,2,1,2,4,4,7,17,34,47,85,132,185,328,530,888,1010,921,739,452,164
,,M,6030,-,2,6,5,6,7,5,11,19,32,57,114,206,351,600,976,1183,1048,816,470,116
C00-C14,"Maligna tumörer i läpp, munhåla och svalg",Kv,66,-,-,-,-,-,-,-,1,-,-,-,2,3,-,6,8,15,12,11,7,1
,,M,111,-,-,-,-,-,-,-,-,1,-,1,2,5,11,18,27,26,12,8,-,-
C00.9,"Malign tumör i läpp, ospecificerad",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
C01,"Malign tumör i tungbasen",Kv,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,2,-,-,-
,,M,14,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,3,1,1,2,-,-
C02.1,"Malign tumör på tungranden",Kv,4,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,1,1,-,-,-
,,M,9,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,4,2,1,-,-,-
C02.9,"Ospecificerad lokalisation av malign tumör i tungan",Kv,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,2,2,-,-
,,M,5,-,-,-,-,-,-,-,-,-,-,-,-,1,-,3,1,-,-,-,-,-
C03.0,"Malign tumör i överkäkstandköttet",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-
C03.1,"Malign tumör i underkäkstandköttet",Kv,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,1,1,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
C03.9,"Ospecificerad lokalisation av malign tumör i tandköttet",Kv,9,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,2,-,1,3,-
,,M,6,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,2,-,1,-,-,-
C04.9,"Ospecificerad lokalisation av malign tumör i munbotten",Kv,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,1,1
,,M,5,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,1,1,-,-,-
C05.2,"Malign tumör i uvula",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
C05.9,"Ospecificerad lokalisation av malign tumör i gommen",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
C06.0,"Malign tumör i kindslemhinnan",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
C06.9,"Ospecificerad lokalisation av malign tumör i munhålan",Kv,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,2,2,1,-
,,M,8,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,3,2,1,1,-,-
C07,"Malign tumör i parotiskörtel",Kv,3,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,1,-,-
,,M,6,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,2,1,-,-
C08.0,"Malign tumör i submandibulariskörtel",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
C08.9,"Malign tumör i stor spottkörtel, ospecificerad",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
,,M,5,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,-,1,1,-,-
C09.9,"Malign tumör i tonsill, ospecificerad",Kv,5,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,2,-,-,-,-,-
,,M,15,-,-,-,-,-,-,-,-,-,-,-,-,1,2,2,4,5,1,-,-,-
C10.9,"Ospecificerad lokalisation av malign tumör i orofarynx",M,5,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,2,-,1,-,-
C11.8,"Malign tumör i rinofarynx med övergripande växt",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
C11.9,"Ospecificerad lokalisation av malign tumör i rinofarynx",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-
,,M,8,-,-,-,-,-,-,-,-,1,-,-,-,-,2,2,-,2,-,1,-,-
C13.8,"Malign tumör i hypofarynx med övergripande växt",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
C13.9,"Ospecificerad lokalisation av malign tumör i hypofarynx",Kv,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,-,-,-
,,M,13,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,4,5,-,1,-,-
C14.0,"Ospecificerad lokalisation av malign tumör i farynx",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,-,-,-
C15-C26,"Maligna tumörer i matsmältningsorganen",Kv,1638,-,1,-,-,-,-,3,3,6,11,28,37,51,99,160,255,294,287,210,137,56
,,M,1916,-,-,-,-,-,2,-,-,10,10,24,46,90,159,227,333,374,295,234,90,22
C15.5,"Malign tumör i nedre tredjedelen av esofagus",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-
,,M,6,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,1,2,-,-,-
C15.8,"Malign tumör i esofagus med övergripande växt",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
C15.9,"Ospecificerad lokalisation av malign tumör i esofagus",Kv,61,-,-,-,-,-,-,-,-,1,-,-,1,2,7,9,10,10,8,6,6,1
,,M,175,-,-,-,-,-,-,-,-,-,2,5,5,5,15,16,35,44,20,23,3,2
C16.0,"Malign tumör i kardia",Kv,12,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,2,2,5,-,-,-
,,M,43,-,-,-,-,-,1,-,-,-,1,-,2,2,1,11,4,7,7,6,1,-
C16.2,"Malign tumör i corpus ventriculi",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
C16.4,"Malign tumör i pylorus",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
C16.5,"Ospecificerad lokalisation av malign tumör i ventrikelns curvatura minor",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
C16.9,"Ospecificerad lokalisation av malign tumör i magsäcken",Kv,77,-,-,-,-,-,-,-,1,-,4,4,3,3,5,4,9,11,14,12,5,2
,,M,102,-,-,-,-,-,-,-,-,1,3,1,3,2,6,11,14,17,19,13,9,3
C17.0,"Malign tumör i duodenum",Kv,12,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,2,4,1,2,-,1
,,M,9,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,3,1,2,1,-,-
C17.1,"Malign tumör i jejunum",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
C17.2,"Malign tumör i ileum",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
C17.9,"Ospecificerad lokalisation av malign tumör i tunntarmen",Kv,13,-,-,-,-,-,-,-,-,-,-,-,1,3,-,2,4,1,-,2,-,-
,,M,14,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,1,3,-,2,2,-
C18.0,"Malign tumör i caecum",Kv,59,-,-,-,-,-,-,-,-,1,-,2,2,-,-,4,9,12,13,7,7,2
,,M,35,-,-,-,-,-,-,-,-,-,-,-,-,6,4,4,4,5,4,6,1,1
C18.1,"Malign tumör i appendix",Kv,11,-,-,-,-,-,-,-,-,-,-,2,-,2,-,2,3,1,-,1,-,-
,,M,12,-,-,-,-,-,-,-,-,-,-,-,1,-,3,1,-,5,1,1,-,-
C18.2,"Malign tumör i colon ascendens",Kv,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,2,2,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-
C18.4,"Malign tumör i colon transversum",Kv,7,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,4,1,-,1
,,M,5,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,1,1,-
C18.6,"Malign tumör i colon descendens",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
C18.7,"Malign tumör i sigmoideum",Kv,73,-,-,-,-,-,-,-,-,-,1,1,4,4,5,7,9,7,9,15,9,2
,,M,68,-,-,-,-,-,-,-,-,1,-,-,3,4,6,11,8,9,8,14,3,1
C18.9,"Ospecificerad lokalisation av malign tumör i kolon",Kv,343,-,-,-,-,-,-,1,1,1,1,5,4,5,11,27,52,56,68,58,38,15
