"Tabell 4A. Döda 2017 efter underliggande dödsorsak enligt ICD:s detaljlista, kön och ålder. Antal",,,,,,,,,,,,,,,,,,,,,,,
"Deaths 2017 by underlying cause of death (ICD detailed list), sex and age. Number.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,Ålder,Ålder,,,,,,,,,,,,,,,,,,,
,,M,12,-,-,1,1,-,-,-,-,-,-,-,1,-,1,-,-,4,3,1,-
B00.4,"Encefalit orsakad av herpes simplex-virus",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
B00.9,"Herpes simplex-infektion, ospecificerad",Kv,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B01.0,"Vattkoppor med meningit",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
B01.1,Vattkoppsencefalit,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
B01.2,"Vattkoppor med pneumoni",M,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B01.9,"Vattkoppor utan komplikation",M,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B02.0,"Bältros med encefalit",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
B02.3,"Bältros med ögonkomplikationer",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
B02.8,"Bältros med andra specificerade komplikationer",M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-
B02.9,"Bältros utan komplikation",Kv,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,4
,,M,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,-,-
B06.0,"Röda hund med neurologiska komplikationer",M,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
B15–B19,Virushepatit,Kv,13,-,-,-,-,-,-,-,-,-,-,-,2,2,5,3,1,-,-,-,-
,,M,31,-,-,-,-,-,-,-,-,-,1,-,6,8,7,2,5,-,2,-,-
B16.9,"Akut hepatit B utan hepatit D, utan leverkoma",M,2,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-
B18.1,"Kronisk hepatit B utan hepatit D",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
,,M,4,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,-,-,-,-,-
B18.2,"Kronisk hepatit C",Kv,11,-,-,-,-,-,-,-,-,-,-,-,2,2,4,2,1,-,-,-,-
,,M,25,-,-,-,-,-,-,-,-,-,1,-,5,5,6,1,5,-,2,-,-
B20–B24,"Sjukdom orsakad av humant immunbristvirus [HIV]",Kv,6,-,-,-,-,-,-,1,1,-,-,2,1,1,-,-,-,-,-,-,-
,,M,7,-,-,-,-,-,-,-,1,2,1,-,-,-,1,1,-,1,-,-,-
B20.1,"HIV-infektion med andra bakterieinfektioner",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
B20.6,"HIV-infektion med Pneumocystis jirovecii (carinii)-pneumoni",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
B20.8,"HIV-infektion med andra infektions- och parasitsjukdomar",Kv,2,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-
,,M,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
B21.0,"HIV-infektion med Kaposis sarkom",M,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
B21.1,"HIV-infektion med Burkitts lymfom",M,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
B21.2,"HIV-infektion med andra typer av non-Hodgkin-lymfom",Kv,2,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-
B22.2,"HIV-infektion med extrem avmagring",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
B22.7,"HIV-infektion med multipla sjukdomar som klassificeras annorstädes",Kv,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
B23.8,"HIV-infektion med andra specificerade sjukdomstillstånd",M,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
B25–B34,"Andra virussjukdomar",Kv,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,3,5,5,10
,,M,23,1,-,-,-,-,-,-,-,-,-,-,-,-,1,2,3,4,1,7,4
B25.9,"Cytomegalvirussjukdom, ospecificerad",M,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B26.9,"Påssjuka utan komplikation",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
B34.1,"Enterovirusinfektion, ospecificerad lokalisation",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
B34.8,"Infektion med andra virus, ospecificerad lokalisation",Kv,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,3,3,5
,,M,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,2,1,6,1
B34.9,"Virusinfektion, ospecificerad",Kv,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,5
,,M,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,3
B35–B49,Svampsjukdomar,Kv,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,2,2,6
,,M,19,-,-,-,-,-,-,-,-,1,-,-,-,1,-,3,3,1,5,3,2
B37.0,"Candidainfektion i munnen",Kv,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-
B37.1,"Candidainfektion i lunga",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
B37.7,Candidasepsis,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
B37.8,"Candidainfektion med andra lokalisationer",Kv,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,1,1
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1
B44.0,"Invasiv lungaspergillos",M,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-
B44.1,"Annan lungaspergillos",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
,,M,2,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
B44.9,"Aspergillos, ospecificerad",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
B49,"Icke specificerad mykos",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
,,M,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,2,-,1
B50–B64,Protozosjukdomar,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
B59,Pneumocystos,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
B60.0,Babesios,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
B65–B83,Masksjukdomar,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
B67.9,"Annan och icke specificerad echinokockos",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
B90–B94,"Sena effekter av infektionssjukdomar och parasitsjukdomar",Kv,13,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,2,4,3,2
,,M,9,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,2,2,3
B90.9,"Sena effekter av tuberkulos i andningsorganen och icke specificerad tuberkulos",Kv,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1
B91,"Sena effekter av polio",Kv,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,2,1
,,M,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1
B94.2,"Sena effekter av virushepatit",M,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
B94.8,"Sena effekter av andra specificerade infektionssjukdomar och parasitsjukdomar",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
B99–B99,"Andra infektionssjukdomar",Kv,337,-,-,-,-,-,-,-,-,-,-,1,1,1,2,9,15,24,52,91,141
,,M,269,-,-,-,-,1,-,-,-,-,-,1,1,1,2,10,18,31,65,65,74
B99,"Andra och icke specificerade infektionssjukdomar",Kv,337,-,-,-,-,-,-,-,-,-,-,1,1,1,2,9,15,24,52,91,141
,,M,269,-,-,-,-,1,-,-,-,-,-,1,1,1,2,10,18,31,65,65,74
"C00 – D48","KAP II. TUMÖRER",Kv,11 514,2,4,7,3,3,4,13,30,50,103,186,324,463,747,1 259,1 859,1 733,1 780,1 617,1 327
,,M,12 368,-,2,6,8,16,12,23,21,48,72,154,263,404,827,1 374,2 154,2 129,2 019,1 725,1 111
C00–C14,"Maligna tumörer i läpp, munhåla och svalg",Kv,134,-,-,-,-,-,-,-,1,2,1,3,1,8,13,17,20,19,19,19,11
,,M,227,-,-,-,-,-,-,-,-,2,2,6,7,18,30,35,51,28,23,14,11
C00.9,"Malign tumör i läpp, ospecificerad",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,1
C01,"Malign tumör i tungbasen",Kv,11,-,-,-,-,-,-,-,-,1,-,-,-,1,5,1,1,1,1,-,-
,,M,36,-,-,-,-,-,-,-,-,-,-,1,3,4,5,7,8,3,4,1,-
C02.1,"Malign tumör på tungranden",Kv,7,-,-,-,-,-,-,-,-,-,-,-,1,1,2,2,1,-,-,-,-
,,M,10,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,1,3,-,-,-
C02.2,"Malign tumör på tungans undersida",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
C02.8,"Malign tumör i tungan med övergripande växt",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-
C02.9,"Icke specificerad lokalisation av malign tumör i tungan",Kv,16,-,-,-,-,-,-,-,-,1,-,-,-,-,-,4,3,3,2,2,1
,,M,25,-,-,-,-,-,-,-,-,-,1,2,-,-,2,3,7,2,3,2,3
C03.0,"Malign tumör i överkäkstandköttet",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-
C03.1,"Malign tumör i underkäkstandköttet",Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,2,-
,,M,4,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,1,1,-
C03.9,"Icke specificerad lokalisation av malign tumör i tandköttet",Kv,14,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,5,4,2,-
,,M,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,4,2,1
C04.9,"Icke specificerad lokalisation av malign tumör i munbotten",Kv,8,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,3,1,1,-,-
,,M,10,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,4,2,1,-,2
C05.0,"Malign tumör i hårda gommen",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
C05.1,"Malign tumör i mjuka gommen",Kv,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-
C05.8,"Malign gomtumör med övergripande växt",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
C05.9,"Icke specificerad lokalisation av malign tumör i gommen",Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,3,-
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-
C06.0,"Malign tumör i kindslemhinnan",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
C06.9,"Icke specificerad lokalisation av malign tumör i munhålan",Kv,21,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,2,-,5,4,7
,,M,11,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,4,1,1,1
C07,"Malign tumör i parotiskörtel",Kv,11,-,-,-,-,-,-,-,-,-,-,1,-,-,2,1,2,1,-,2,2
,,M,11,-,-,-,-,-,-,-,-,-,1,-,-,-,3,3,1,-,1,1,1
C08.0,"Malign tumör i submandibulariskörtel",Kv,5,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,2,-,-,-
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,1,-
C08.9,"Malign tumör i stor spottkörtel, ospecificerad",M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-
C09.0,"Malign tumör i fossa tonsillaris",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
C09.1,"Malign tumör i gombåge",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
C09.8,"Malign tonsilltumör med övergripande växt",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
C09.9,"Malign tumör i tonsill, ospecificerad",Kv,12,-,-,-,-,-,-,-,-,-,-,-,-,2,1,3,1,2,3,-,-
,,M,50,-,-,-,-,-,-,-,-,-,-,-,2,9,11,10,4,7,3,2,2
C10.3,"Malign tumör i bakre väggen av orofarynx",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
C10.9,"Icke specificerad lokalisation av malign tumör i orofarynx",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-
,,M,6,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,1,1,-,1,-
C11.9,"Icke specificerad lokalisation av malign tumör i rinofarynx",Kv,4,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,1,1,-
,,M,8,-,-,-,-,-,-,-,-,1,-,2,-,-,-,-,2,1,2,-,-
C12,"Malign tumör i fossa piriformis",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
C13.0,"Malign tumör i postkrikoidala rummet",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
