Diagnoser i sluten vård, Vårdtillfällen/100 000 inv, Riket, Ålder: 0-85+
År;Kön;Ålder;J00­J06 Akuta infektioner i övre luftvägarna;J09­J18 Influensa och lunginflammation;J20­J22 Andra akuta infektioner i nedre luftvägarna
2015;Män;85+;391,31;7427,05;335,90
2015;Kvinnor;0­4;358,90;321,60;526,74
2015;Kvinnor;5­9;58,15;82,27;12,41
2015;Kvinnor;10­14;32,72;40,04;3,85
2015;Kvinnor;15­19;89,00;50,23;2,37
2015;Kvinnor;20­24;80,91;61,69;6,82
2015;Kvinnor;25­29;55,97;65,75;4,28
2015;Kvinnor;30­34;50,49;90,96;6,02
2015;Kvinnor;35­39;48,81;117,81;8,75
2015;Kvinnor;40­44;38,96;110,66;4,99
2015;Kvinnor;45­49;35,38;126,28;7,63
2015;Kvinnor;50­54;44,23;195,17;14,10
2015;Kvinnor;55­59;46,56;273,08;20,50
2015;Kvinnor;60­64;48,07;467,91;29,56
2015;Kvinnor;65­69;51,58;598,00;34,94
2015;Kvinnor;70­74;66,09;941,13;66,49
2015;Kvinnor;75­79;95,68;1390,07;103,93
2015;Kvinnor;80­84;173,98;2275,39;168,26
2015;Kvinnor;85+;299,31;4447,01;341,30
2014;Män;0­4;526,37;375,79;669,26
2014;Män;5­9;78,21;82,69;12,06
2014;Män;10­14;40,24;40,62;4,51
2014;Män;15­19;60,31;50,56;2,89
2014;Män;20­24;49,09;62,45;2,90
2014;Män;25­29;47,42;72,34;5,17
2014;Män;30­34;44,24;71,69;2,58
2014;Män;35­39;40,78;89,32;6,15
2014;Män;40­44;35,46;112,49;7,03
2014;Män;45­49;33,76;137,06;12,80
2014;Män;50­54;33,89;177,20;20,33
2014;Män;55­59;33,39;256,07;22,37
2014;Män;60­64;43,50;437,48;35,72
2014;Män;65­69;66,88;643,59;47,05
2014;Män;70­74;100,56;1072,64;64,83
2014;Män;75­79;119,11;1932,79;109,90
2014;Män;80­84;182,06;3266,27;184,02
2014;Män;85+;297,04;6608,33;372,74
2014;Kvinnor;0­4;397,17;317,60;469,32
2014;Kvinnor;5­9;65,56;84,14;11,66
2014;Kvinnor;10­14;28,99;38,12;1,99
2014;Kvinnor;15­19;90,91;44,10;4,26
2014;Kvinnor;20­24;81,23;62,61;6,72
2014;Kvinnor;25­29;61,05;68,68;6,36
2014;Kvinnor;30­34;55,59;79,32;8,13
2014;Kvinnor;35­39;58,12;104,15;10,42
2014;Kvinnor;40­44;39,87;103,92;9,73
2014;Kvinnor;45­49;34,31;111,05;13,84
2014;Kvinnor;50­54;39,80;161,53;17,25
2014;Kvinnor;55­59;44,93;242,75;21,59
2014;Kvinnor;60­64;48,56;384,62;39,76
2014;Kvinnor;65­69;46,76;522,56;44,45
2014;Kvinnor;70­74;65,74;820,44;52,67
2014;Kvinnor;75­79;96,19;1157,09;98,45
2014;Kvinnor;80­84;147,89;1882,81;179,18
2014;Kvinnor;85+;236,11;3655,60;293,06
2013;Män;0­4;564,66;396,81;785,86
2013;Män;5­9;104,59;83,74;15,19
2013;Män;10­14;52,79;34,93;4,27
2013;Män;15­19;51,09;58,78;4,20
2013;Män;20­24;53,97;59,22;6,71
2013;Män;25­29;44,12;67,44;5,36
2013;Män;30­34;41,37;78,46;5,25
2013;Män;35­39;38,17;103,28;8,66
2013;Män;40­44;41,59;132,17;10,78
2013;Män;45­49;38,19;148,14;13,60
2013;Män;50­54;31,89;209,58;22,59
2013;Män;55­59;36,96;300,52;25,91
2013;Män;60­64;52,45;493,29;38,91
2013;Män;65­69;79,72;706,40;52,81
2013;Män;70­74;100,91;1223,62;84,88
2013;Män;75­79;183,65;1998,13;155,45
2013;Män;80­84;227,95;3434,98;254,48
2013;Män;85+;433,01;6993,37;462,11
2013;Kvinnor;0­4;385,81;364,39;534,99
2013;Kvinnor;5­9;66,43;93,30;10,08
2013;Kvinnor;10­14;45,07;52,86;4,92
2013;Kvinnor;15­19;92,05;49,94;5,96
2013;Kvinnor;20­24;70,69;64,88;7,04
2013;Kvinnor;25­29;60,76;71,65;7,92
2013;Kvinnor;30­34;73,85;96,17;5,50
2013;Kvinnor;35­39;60,12;115,26;9,63
2013;Kvinnor;40­44;46,78;122,02;12,01
2013;Kvinnor;45­49;46,15;139,35;13,19
2013;Kvinnor;50­54;40,54;186,67;17,03
2013;Kvinnor;55­59;40,82;277,73;28,61
2013;Kvinnor;60­64;53,82;400,19;36,57
2013;Kvinnor;65­69;55,56;569,52;53,58
2013;Kvinnor;70­74;82,28;808,01;72,44
2013;Kvinnor;75­79;122,98;1251,96;110,74
2013;Kvinnor;80­84;170,94;2034,36;216,66
2013;Kvinnor;85+;294,49;3808,11;385,51
2012;Män;0­4;534,49;403,86;693,44
2012;Män;5­9;101,17;99,36;15,59
2012;Män;10­14;52,00;40,09;4,76
2012;Män;15­19;68,51;76,23;3,69
2012;Män;20­24;53,67;73,84;4,45
2012;Män;25­29;41,76;84,50;7,77
2012;Män;30­34;44,24;93,80;5,99
2012;Män;35­39;44,95;115,54;11,08
2012;Män;40­44;45,70;116,24;13,19
2012;Män;45­49;31,66;147,45;16,71
2012;Män;50­54;34,06;213,46;18,88
2012;Män;55­59;40,81;306,79;29,05
2012;Män;60­64;44,56;471,10;45,24
2012;Män;65­69;66,17;750,89;53,15
2012;Män;70­74;94,74;1287,77;94,24
2012;Män;75­79;151,42;2142,64;149,29
2012;Män;80­84;256,65;3578,30;266,52
2012;Män;85+;412,57;7208,85;468,99
2012;Kvinnor;0­4;377,21;344,03;463,39
2012;Kvinnor;5­9;81,39;97,83;10,70
2012;Kvinnor;10­14;39,46;40,72;2,94
2012;Kvinnor;15­19;95,11;62,34;4,63
2012;Kvinnor;20­24;91,99;76,14;4,97
2012;Kvinnor;25­29;65,48;85,60;6,48
2012;Kvinnor;30­34;56,66;109,85;9,39
2012;Kvinnor;35­39;54,67;116,22;10,48
2012;Kvinnor;40­44;45,09;132,74;14,82
2012;Kvinnor;45­49;42,88;141,42;13,08
2012;Kvinnor;50­54;43,09;203,75;25,17
2012;Kvinnor;55­59;45,77;268,71;26,21
2012;Kvinnor;60­64;55,65;427,99;38,11
2012;Kvinnor;65­69;58,20;586,72;51,77
2012;Kvinnor;70­74;81,40;876,62;92,70
2012;Kvinnor;75­79;112,82;1367,45;131,22
2012;Kvinnor;80­84;188,55;2115,77;226,12
2012;Kvinnor;85+;302,85;4108,97;403,40
2011;Män;0­4;477,13;408,57;818,53
2011;Män;5­9;92,79;118,13;10,43
2011;Män;10­14;48,78;68,77;4,40
2011;Män;15­19;61,00;106,27;5,78
2011;Män;20­24;57,02;110,08;8,23
2011;Män;25­29;39,99;110,06;5,29
2011;Män;30­34;38,90;117,70;6,71
2011;Män;35­39;38,74;141,23;10,00
2011;Män;40­44;37,62;165,05;10,62
2011;Män;45­49;32,52;183,67;16,56
2011;Män;50­54;32,83;224,75;22,00
2011;Män;55­59;35,80;335,37;34,06
2011;Män;60­64;40,76;437,79;32,15
2011;Män;65­69;70,33;731,16;60,69
2011;Män;70­74;103,01;1164,13;87,24
2011;Män;75­79;133,70;1836,19;158,40
2011;Män;80­84;202,75;3311,58;253,44
2011;Män;85+;320,32;6498,99;429,47
2011;Kvinnor;0­4;313,89;358,37;544,29
2011;Kvinnor;5­9;70,99;114,92;9,41
2011;Kvinnor;10­14;39,30;84,95;6,34
2011;Kvinnor;15­19;89,11;96,59;7,14
2011;Kvinnor;20­24;79,75;102,39;6,38
2011;Kvinnor;25­29;62,25;109,11;7,34
2011;Kvinnor;30­34;59,59;140,22;7,71
2011;Kvinnor;35­39;51,64;176,53;17,75
2011;Kvinnor;40­44;35,07;169,70;16,59
2011;Kvinnor;45­49;35,90;180,12;11,24
2011;Kvinnor;50­54;40,81;214,06;20,75
2011;Kvinnor;55­59;41,73;291,37;25,25
2011;Kvinnor;60­64;44,73;404,22;33,55
2011;Kvinnor;65­69;44,88;605,36;56,19
2011;Kvinnor;70­74;82,34;828,25;78,44
2011;Kvinnor;75­79;107,67;1184,98;125,62
2011;Kvinnor;80­84;152,76;1907,76;185,25
2011;Kvinnor;85+;229,79;3554,55;329,20
2010;Män;0­4;526,67;416,64;871,82
2010;Män;5­9;97,51;95,22;12,62
2010;Män;10­14;50,64;50,64;2,77
2010;Män;15­19;72,43;69,02;8,05
2010;Män;20­24;47,43;62,61;7,27
2010;Män;25­29;39,49;58,40;5,40
2010;Män;30­34;41,78;94,01;11,46
2010;Män;35­39;38,81;102,45;11,18
2010;Män;40­44;34,65;116,50;10,16
2010;Män;45­49;36,72;141,57;17,11
2010;Män;50­54;37,88;172,15;19,28
2010;Män;55­59;36,13;274,10;30,92
2010;Män;60­64;49,82;410,85;35,59
2010;Män;65­69;70,47;584,96;57,21
2010;Män;70­74;81,08;980,59;102,30
2010;Män;75­79;139,85;1773,10;139,85
2010;Män;80­84;195,53;3035,71;262,37
2010;Män;85+;282,35;5737,56;444,04
2010;Kvinnor;0­4;357,16;360,87;574,13
2010;Kvinnor;5­9;84,98;95,05;13,29
2010;Kvinnor;10­14;41,73;52,17;3,76
2010;Kvinnor;15­19;109,66;60,56;4,58
2010;Kvinnor;20­24;80,34;73,39;7,60
2010;Kvinnor;25­29;59,52;66,29;10,34
2010;Kvinnor;30­34;58,41;101,69;7,74
2010;Kvinnor;35­39;46,46;91,96;13,78
2010;Kvinnor;40­44;39,95;104,99;14,87
2010;Kvinnor;45­49;33,18;122,41;15,78
2010;Kvinnor;50­54;38,72;162,48;21,09
2010;Kvinnor;55­59;36,42;249,34;31,52
2010;Kvinnor;60­64;39,59;345,69;36,05
2010;Kvinnor;65­69;66,72;487,68;50,60
2010;Kvinnor;70­74;70,88;691,37;79,37
2010;Kvinnor;75­79;88,26;1028,70;112,11
2010;Kvinnor;80­84;135,20;1664,29;195,60
2010;Kvinnor;85+;220,00;3108,11;314,71
2009;Män;0­4;560,40;500,17;716,01
2009;Män;5­9;111,54;111,54;12,17
2009;Män;10­14;46,52;43,83;2,69
2009;Män;15­19;69,94;77,84;4,26
2009;Män;20­24;56,08;82,47;7,92
2009;Män;25­29;34,39;77,37;5,85
2009;Män;30­34;40,69;92,47;9,75
2009;Män;35­39;38,71;118,32;7,18
2009;Män;40­44;28,74;118,19;13,20
2009;Män;45­49;29,95;142,35;15,14
2009;Män;50­54;30,53;204,87;23,40
2009;Män;55­59;37,73;289,17;30,53
2009;Män;60­64;45,28;403,01;44,32
2009;Män;65­69;58,70;633,95;68,42
2009;Män;70­74;83,10;1077,51;98,93
2009;Män;75­79;133,09;1768,65;180,41
2009;Män;80­84;204,54;2878,48;306,31
2009;Män;85+;302,44;5941,80;499,15
2009;Kvinnor;0­4;387,19;409,94;473,65
2009;Kvinnor;5­9;84,40;102,60;11,58
2009;Kvinnor;10­14;43,34;48,20;3,24
2009;Kvinnor;15­19;98,04;79,07;7,07
2009;Kvinnor;20­24;83,87;85,94;11,39
2009;Kvinnor;25­29;71,24;86,43;9,04
2009;Kvinnor;30­34;62,40;102,01;11,22
2009;Kvinnor;35­39;53,18;112,80;11,60
2009;Kvinnor;40­44;42,11;115,35;13,43
2009;Kvinnor;45­49;38,65;132,93;14,33
2009;Kvinnor;50­54;41,21;179,72;19,74
2009;Kvinnor;55­59;49,12;243,51;30,09
2009;Kvinnor;60­64;42,35;329,92;37,90
2009;Kvinnor;65­69;55,43;513,62;61,01
2009;Kvinnor;70­74;71,30;747,36;72,84
2009;Kvinnor;75­79;95,69;1022,42;129,94
2009;Kvinnor;80­84;134,53;1622,50;218,10
2009;Kvinnor;85+;243,03;3101,15;381,81
Socialstyrelsens statistikdatabas 2018-01-27
